text,count,topic
layer,1,0
ordered,1,0
sweet,1,0
decadent,1,0
honey,1,0
bruleeabsolutely,1,0
undertones,1,0
strawberry,1,0
crust,1,0
lighterthanair,1,0
creme,1,0
rich,1,0
heavenly,1,0
perfectly,1,0
juno,1,0
dessert,1,0
chocolate,1,0
glass,1,0
cremeit,1,0
strawberries,1,0
frosting,1,0
cakevery,1,0
brulee,1,0
light,1,0
smoky,1,0
paired,1,0
mouthwatering,1,0
fresh,1,0
chardonnaywonderful,1,0
schlotzskys,1,3
central,1,3
phoenix,1,3
oh,1,3
whatevs,1,3
downtown,1,3
switch,1,3
im,1,3
location,1,3
durants,1,3
sorry,1,3
geee,1,4
flavors,1,5
clams,1,5
drooling,1,5
sauce,1,5
still,1,5
back,1,5
later,1,5
gf,1,5
switch,1,5
drank,1,5
brunch,1,5
insistence,1,5
roofwe,1,5
went,1,5
butterywine,1,5
remainder,1,5
day,1,5
hahahahahahahhahaha,1,7
good,57,14
chicken,52,14
salad,43,14
cheese,41,14
sandwich,39,14
ordered,32,14
delicious,21,14
really,21,14
also,21,14
lobster,21,14
great,20,14
side,20,14
salads,19,14
like,17,14
tasty,17,14
sangria,16,14
mac,16,14
food,16,14
turkey,16,14
fresh,16,14
sauce,15,14
feta,14,14
tried,14,14
bbq,14,14
amazing,13,14
tomato,13,14
perfect,13,14
special,13,14
sandwiches,13,14
came,13,14
menu,13,14
risotto,12,14
one,12,14
pretty,12,14
ive,12,14
meat,11,14
order,11,14
burger,11,14
eggs,11,14
much,11,14
dish,10,14
got,10,14
little,10,14
tasted,10,14
plate,10,14
hummus,10,14
sweet,10,14
apricot,10,14
time,10,14
try,9,14
emm,1,16
hummus,1,16
appetizers,1,16
plate,1,16
food,374,17
good,338,17
switch,314,17
great,306,17
place,294,17
back,224,17
service,220,17
like,198,17
really,194,17
go,168,17
time,159,17
menu,151,17
one,146,17
drinks,137,17
love,130,17
happy,126,17
get,124,17
us,123,17
would,120,17
cheese,117,17
lunch,116,17
ive,114,17
nice,111,17
try,105,17
restaurant,104,17
delicious,103,17
hour,102,17
ordered,102,17
always,101,17
also,100,17
drink,99,17
im,97,17
brunch,94,17
salad,92,17
going,91,17
server,91,17
sandwich,87,17
well,85,17
went,83,17
didnt,83,17
chicken,83,17
came,82,17
got,82,17
little,81,17
dont,81,17
atmosphere,79,17
pretty,77,17
amazing,76,17
dinner,75,17
3,74,17
place,34,18
switch,28,18
good,21,18
patio,19,18
back,19,18
great,18,18
people,18,18
food,17,18
nice,17,18
get,15,18
really,15,18
restaurant,15,18
would,13,18
parking,13,18
time,13,18
even,12,18
night,12,18
little,11,18
like,11,18
area,11,18
also,10,18
wait,9,18
lunch,9,18
got,9,18
love,9,18
could,9,18
one,9,18
open,9,18
service,9,18
atmosphere,9,18
bar,9,18
seat,9,18
ive,9,18
lot,9,18
looking,8,18
told,8,18
always,8,18
ambiance,8,18
seated,8,18
table,8,18
decor,8,18
know,8,18
waiting,7,18
sit,7,18
times,7,18
first,7,18
came,7,18
pretty,7,18
party,7,18
us,7,18
